catalog_id,name,category,origin,target_class,promotion_status,authority,next_requirement
declaration-kind-dataset,dataset,declaration kind,thread-derived,kind,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-about,about,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-inputs,inputs,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-outputs,outputs,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-parameters,parameters,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-state,state,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-values,values,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-constructors,constructors,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-definitions,definitions,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-equation,equation,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-equations,equations,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-constraints,constraints,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-assumptions,assumptions,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-given,given,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-require,require,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-ensure,ensure,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-invariants,invariants,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-laws,laws,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-examples,examples,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-tests,tests,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-goals,goals,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-methods,methods,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-providers,providers,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-evidence,evidence,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-fallback,fallback,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-host,host,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-build,build,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-compile,compile,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-emit,emit,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-return,return,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-worlds,worlds,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-expression,expression,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-source,source,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-architecture,architecture,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-optimizer,optimizer,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-schedule,schedule,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-precision,precision,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-parallel,parallel,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-checkpoint,checkpoint,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-pipeline,pipeline,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-events,events,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-transitions,transitions,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-streams,streams,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-fusion,fusion,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-protect,protect,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-measure,measure,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-compare,compare,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-decide,decide,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-release,release,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-migration,migration,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-effects,effects,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-budget,budget,section or clause,thread-derived,section,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-actors,actors,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-knowledge,knowledge,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-public,public,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-hidden,hidden,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-claims,claims,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-clues,clues,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-difficulty,difficulty,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
section-or-clause-security,security,section or clause,thread-derived,section,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-run,run,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-check,check,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-evaluate,evaluate,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-calculate,calculate,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-simplify,simplify,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-canonicalize,canonicalize,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-expand,expand,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-freeze,freeze,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-explain,explain,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-why,why,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-plot,plot,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-visualize,visualize,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-solve,solve,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-find,find,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-search,search,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-differentiate,differentiate,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-integrate,integrate,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-limit,limit,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-sum,sum,goal or intent verb,thread-derived,syntax-pack/capability,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-product,product,goal or intent verb,thread-derived,syntax-pack/capability,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-simulate,simulate,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-optimize,optimize,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-benchmark,benchmark,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-tune,tune,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-verify,verify,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-prove,prove,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-refute,refute,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-generate,generate,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-recover,recover,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-encode,encode,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-decode,decode,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-encrypt,encrypt,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-decrypt,decrypt,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-distinguish,distinguish,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-enumerate,enumerate,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-classify,classify,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-fit,fit,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-infer,infer,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-materialize,materialize,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-publish,publish,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-share,share,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-import,import,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-export,export,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-convert,convert,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-transform,transform,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-port,port,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-quantize,quantize,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-dequantize,dequantize,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-prune,prune,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-merge,merge,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-distill,distill,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-calibrate,calibrate,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-synthesize,synthesize,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-replay,replay,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-enumerate-worlds,enumerate worlds,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-select-world,select world,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-generate-rust,generate Rust,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-generate-wasm,generate WASM,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-generate-proof-obligation,generate proof obligation,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
goal-or-intent-verb-continue,continue,goal or intent verb,thread-derived,syntax-pack/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
type-or-value-class-bool,Bool,type or value class,thread-derived,type,prototype-specified,V19 prototype capsule,"owner classification, Feature Capsule, conformance, implementation disposition"
